Attrition,OverTime,TotalWorkingYears,JobLevel,YearsInCurrentRole,MonthlyIncome,Age,YearsWithCurrManager,StockOptionLevel,YearsAtCompany,JobInvolvement,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,DistanceFromHome,WorkLifeBalance,TrainingTimesLastYear,Department,EducationField,JobRole,MaritalStatus
0,0,9,3,8,9069,35,8,1,9,3,2,1,2,18,2,3,Sales,Life Sciences,Sales Executive,Married
0,1,4,1,2,4014,35,2,1,2,3,1,1,3,23,3,3,Research & Development,Medical,Laboratory Technician,Married
0,0,10,2,7,5915,31,7,1,7,3,1,4,4,7,2,3,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,0,7,2,5,5993,37,7,1,7,2,1,3,1,1,4,2,Research & Development,Life Sciences,Manufacturing Director,Divorced
0,1,9,2,8,6162,32,8,1,9,3,1,4,1,1,3,3,Research & Development,Medical,Manufacturing Director,Married
0,0,10,2,3,2406,38,9,0,10,3,2,4,4,29,3,2,Research & Development,Life Sciences,Laboratory Technician,Single
0,1,29,5,3,18740,50,8,1,27,2,1,3,2,7,2,2,Research & Development,Medical,Research Director,Divorced
0,0,28,3,16,7637,59,9,0,21,3,1,1,1,25,2,3,Sales,Life Sciences,Sales Executive,Single
0,0,17,3,14,10096,36,8,3,17,3,1,3,3,8,3,2,Research & Development,Technical Degree,Healthcare Representative,Divorced
0,1,21,4,0,14756,55,2,3,5,3,1,3,4,8,3,2,Research & Development,Medical,Manager,Divorced
0,0,6,2,5,6499,36,3,0,6,2,2,2,2,11,3,3,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,25,3,0,9724,45,0,1,1,3,1,1,2,7,3,2,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,5,1,2,2194,35,2,1,3,3,2,1,2,1,2,2,Research & Development,Medical,Research Scientist,Married
1,1,2,1,0,3388,36,0,1,1,2,1,3,4,9,2,0,Research & Development,Medical,Research Scientist,Married
0,0,20,2,3,5473,59,3,0,4,2,2,3,1,1,2,2,Sales,Life Sciences,Sales Executive,Single
0,0,6,1,4,2703,29,4,1,5,3,1,2,3,2,3,3,Research & Development,Life Sciences,Research Scientist,Married
0,0,1,1,1,2501,31,0,0,1,3,1,2,3,1,3,4,Research & Development,Medical,Research Scientist,Single
0,0,10,2,4,6220,32,9,2,10,3,1,2,2,1,3,3,Research & Development,Life Sciences,Research Scientist,Married
0,0,5,1,0,3038,36,0,0,1,4,1,4,2,6,3,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,11,2,7,4424,31,8,0,11,3,1,4,3,8,3,2,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,16,2,13,4312,35,8,0,15,2,1,1,3,1,3,2,Sales,Marketing,Sales Executive,Single
0,1,17,3,0,13245,45,0,0,0,3,1,1,4,6,4,3,Research & Development,Other,Research Director,Married
0,0,16,3,2,13664,37,2,0,5,3,1,3,1,7,4,3,Research & Development,Medical,Research Director,Single
0,1,16,2,2,5021,46,2,1,4,3,1,2,2,5,3,2,Human Resources,Medical,Human Resources,Divorced
0,1,10,2,8,5126,30,0,2,10,2,1,4,4,1,2,1,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,6,1,4,2859,35,4,0,6,2,1,3,2,1,3,3,Research & Development,Medical,Research Scientist,Single
0,0,24,3,0,10239,55,0,1,1,3,1,4,1,1,3,4,Sales,Life Sciences,Sales Executive,Married
0,1,17,2,11,5329,38,9,3,13,1,0,4,2,6,3,3,Research & Development,Medical,Research Scientist,Divorced
0,0,5,2,2,4325,34,3,0,5,3,1,2,1,1,3,2,Research & Development,Medical,Manufacturing Director,Married
0,0,37,3,4,7260,56,2,0,6,1,1,4,4,7,2,3,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,3,1,0,2322,23,0,1,0,3,1,1,3,2,3,3,Sales,Technical Degree,Sales Representative,Divorced
0,0,10,1,2,2075,51,3,2,4,3,1,4,4,9,3,4,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,11,2,10,4152,30,8,3,11,2,1,4,3,2,3,3,Research & Development,Life Sciences,Healthcare Representative,Married
1,0,9,3,8,9619,46,7,0,9,2,1,4,3,9,3,3,Sales,Medical,Sales Executive,Single
0,0,22,4,3,13503,40,11,1,22,2,2,2,3,1,2,3,Research & Development,Life Sciences,Healthcare Representative,Married
0,1,11,2,7,5441,51,0,0,10,3,1,4,3,21,1,2,Sales,Marketing,Sales Executive,Single
0,1,11,2,8,5209,30,7,3,11,2,1,2,3,4,2,4,Sales,Medical,Sales Executive,Divorced
0,1,21,3,9,10673,46,5,1,10,2,2,1,3,1,2,5,Research & Development,Medical,Healthcare Representative,Married
0,0,12,2,8,5010,32,7,0,11,3,1,3,2,6,3,0,Sales,Medical,Sales Executive,Single
0,0,16,3,3,13549,54,3,1,4,3,1,3,1,2,1,5,Research & Development,Technical Degree,Research Director,Married
0,0,4,2,2,4999,24,2,1,3,3,1,3,1,3,2,2,Sales,Other,Sales Executive,Married
0,0,5,2,4,4221,28,4,0,5,3,0,3,2,4,4,3,Sales,Medical,Sales Executive,Married
0,0,38,4,10,13872,58,8,0,37,3,1,3,4,10,2,1,Sales,Medical,Sales Executive,Single
0,0,17,2,2,2042,44,2,1,3,3,0,2,2,23,4,3,Research & Development,Medical,Laboratory Technician,Married
1,1,7,1,2,2073,37,2,0,3,3,1,1,3,6,3,3,Human Resources,Human Resources,Human Resources,Divorced
0,0,1,1,0,2956,32,0,0,1,3,1,1,4,1,3,2,Research & Development,Life Sciences,Research Scientist,Single
1,1,1,1,0,2926,20,0,0,1,2,2,4,4,6,3,5,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,16,2,13,4809,34,10,0,16,3,1,3,1,6,3,3,Research & Development,Other,Research Scientist,Single
0,0,17,2,0,5163,37,0,1,1,2,0,4,3,2,4,2,Research & Development,Life Sciences,Healthcare Representative,Divorced
0,0,30,5,2,18844,59,2,1,3,2,0,4,3,2,3,3,Human Resources,Human Resources,Manager,Married
0,1,28,5,3,18172,50,7,0,8,3,2,2,1,1,2,1,Research & Development,Life Sciences,Research Director,Married
1,1,6,2,4,5744,25,3,0,6,2,1,3,3,5,3,1,Sales,Marketing,Sales Executive,Single
0,0,2,1,2,2889,25,1,2,2,2,1,4,4,7,3,2,Research & Development,Medical,Research Scientist,Married
0,0,1,1,0,2871,22,0,0,0,3,1,4,2,15,3,5,Research & Development,Medical,Laboratory Technician,Single
0,0,23,3,12,7484,51,8,0,13,2,2,1,1,1,2,1,Research & Development,Medical,Healthcare Representative,Single
1,1,9,2,7,6074,34,6,0,9,1,2,3,1,7,3,3,Research & Development,Life Sciences,Laboratory Technician,Single
0,1,23,4,3,17328,54,4,0,5,4,0,4,4,26,3,3,Human Resources,Human Resources,Manager,Single
0,0,6,1,3,2774,24,2,1,5,3,1,3,2,18,3,2,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,12,2,0,4505,34,0,1,1,2,1,2,3,6,3,3,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,12,3,3,7428,37,3,0,5,3,1,4,3,3,3,3,Sales,Life Sciences,Sales Executive,Single
0,0,14,3,10,11631,34,8,0,11,2,1,1,3,5,3,6,Research & Development,Medical,Manager,Single
0,0,10,3,7,9738,36,8,1,9,3,2,4,2,11,3,6,Sales,Technical Degree,Sales Executive,Married
0,0,7,1,0,2835,36,0,1,1,3,1,4,1,3,3,2,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,1,25,4,12,16959,43,12,2,25,3,2,4,3,26,4,3,Sales,Life Sciences,Manager,Married
0,0,10,1,7,2613,30,9,3,10,1,2,3,1,23,2,2,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,8,2,7,6146,33,7,1,7,3,0,2,3,22,4,2,Sales,Marketing,Sales Executive,Married
1,1,7,1,4,4963,56,3,3,5,3,1,2,2,14,3,2,Research & Development,Life Sciences,Research Scientist,Married
0,0,23,5,18,19537,51,15,0,20,3,1,3,1,6,3,5,Research & Development,Life Sciences,Research Director,Single
1,1,12,2,7,6172,31,7,0,7,1,1,3,2,6,2,3,Sales,Life Sciences,Sales Executive,Married
0,0,5,1,4,2368,26,3,0,5,2,1,2,3,6,2,3,Research & Development,Other,Research Scientist,Married
1,0,40,3,10,10312,58,6,1,40,3,1,4,4,23,2,3,Research & Development,Medical,Healthcare Representative,Married
1,1,0,1,0,1675,19,0,0,0,3,1,3,4,22,2,2,Sales,Marketing,Sales Representative,Single
0,0,3,1,1,2523,22,1,1,2,3,1,4,3,2,3,2,Research & Development,Technical Degree,Laboratory Technician,Married
0,0,16,2,11,6567,49,11,0,15,3,1,1,3,20,2,2,Research & Development,Medical,Manufacturing Director,Married
0,0,18,1,2,4739,43,2,0,3,4,2,3,2,28,3,2,Research & Development,Medical,Research Scientist,Single
0,0,16,3,2,9208,50,1,0,2,3,2,4,3,12,3,3,Sales,Marketing,Sales Executive,Single
1,1,4,2,2,4559,31,2,1,2,1,1,3,2,20,3,2,Sales,Life Sciences,Sales Executive,Married
0,1,12,3,7,8189,41,7,1,9,3,1,3,3,9,3,2,Sales,Life Sciences,Sales Executive,Divorced
0,0,8,1,7,2942,26,7,1,8,3,1,3,3,25,3,3,Human Resources,Life Sciences,Human Resources,Married
0,0,7,2,2,4941,36,1,2,3,3,1,2,2,6,3,0,Research & Development,Medical,Manufacturing Director,Divorced
1,0,18,3,2,10650,51,3,0,4,1,2,4,1,8,3,2,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,17,2,11,5902,39,9,1,15,2,1,3,4,4,4,1,Sales,Life Sciences,Sales Executive,Married
0,0,6,2,2,8639,25,2,0,2,2,1,3,1,28,3,3,Sales,Life Sciences,Sales Executive,Married
0,1,12,2,9,6347,30,7,0,11,3,1,4,3,9,1,2,Human Resources,Human Resources,Human Resources,Married
1,0,10,1,4,4200,32,4,0,5,3,1,1,1,9,4,2,Research & Development,Medical,Laboratory Technician,Single
0,0,9,1,5,3452,45,3,0,6,3,1,4,3,29,2,2,Research & Development,Medical,Research Scientist,Single
0,1,19,2,2,4317,38,2,0,3,3,1,3,4,3,3,2,Research & Development,Technical Degree,Research Scientist,Single
0,0,5,1,4,2632,30,4,0,5,3,1,3,1,18,2,4,Research & Development,Life Sciences,Research Scientist,Single
0,0,9,2,7,4668,32,7,3,8,1,2,4,4,9,4,2,Sales,Medical,Sales Executive,Divorced
0,0,8,1,2,3204,30,2,1,3,3,1,1,4,5,3,3,Research & Development,Technical Degree,Research Scientist,Divorced
0,0,6,1,3,2720,30,2,0,5,2,1,4,2,2,3,3,Research & Development,Medical,Laboratory Technician,Single
0,0,21,4,6,17181,41,7,1,7,2,2,1,4,10,2,2,Research & Development,Life Sciences,Manager,Divorced
0,0,7,1,0,2238,41,4,1,5,3,1,1,3,9,3,2,Research & Development,Life Sciences,Laboratory Technician,Married
0,0,1,1,0,1483,19,0,0,1,3,1,2,2,3,3,3,Research & Development,Medical,Laboratory Technician,Single
0,0,20,2,7,5605,40,13,1,20,3,2,2,2,26,3,2,Research & Development,Medical,Research Scientist,Divorced
0,0,10,3,8,7295,35,6,2,10,3,1,2,3,1,3,3,Sales,Marketing,Sales Executive,Married
0,1,13,2,7,2306,53,5,1,7,3,1,3,2,6,1,3,Sales,Marketing,Sales Representative,Married
0,0,20,2,9,2348,45,15,1,17,3,1,2,2,9,1,2,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,0,9,3,8,8998,32,7,0,9,3,2,4,2,8,3,2,Sales,Marketing,Sales Executive,Single
0,0,10,2,7,4319,29,9,1,10,3,0,3,4,1,3,1,Research & Development,Technical Degree,Manufacturing Director,Married
0,0,10,2,0,6132,51,0,0,1,2,1,3,2,7,3,2,Research & Development,Medical,Manufacturing Director,Married
0,1,9,1,0,3346,58,0,1,1,2,1,2,2,9,2,3,Research & Development,Medical,Research Scientist,Married
0,0,15,3,11,10855,40,11,1,12,2,1,4,3,4,2,2,Sales,Marketing,Sales Executive,Married
0,0,6,1,3,2231,34,2,1,4,3,2,3,3,2,3,3,Sales,Marketing,Sales Representative,Married
0,0,2,1,2,2323,22,2,2,2,3,1,4,3,19,3,6,Research & Development,Medical,Research Scientist,Married
0,0,6,1,2,2024,27,2,1,2,3,0,2,4,9,1,1,Research & Development,Medical,Research Scientist,Divorced
0,0,5,1,2,2713,28,2,1,5,3,1,4,3,21,1,2,Research & Development,Medical,Research Scientist,Married
0,1,12,3,3,9439,57,4,1,5,4,1,4,3,24,1,2,Research & Development,Life Sciences,Healthcare Representative,Divorced
0,1,1,1,1,2566,27,1,1,1,2,0,3,3,3,2,2,Research & Development,Medical,Research Scientist,Divorced
0,0,21,5,4,19926,50,4,0,5,3,1,2,3,11,3,5,Research & Development,Life Sciences,Manager,Single
0,0,13,1,8,2451,41,8,1,9,3,1,3,1,14,3,2,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,12,3,9,9419,30,4,1,10,3,1,4,2,5,3,2,Sales,Life Sciences,Sales Executive,Married
0,0,12,2,3,8686,38,7,0,8,2,1,4,1,1,4,2,Sales,Life Sciences,Sales Executive,Single
0,0,8,1,4,3038,32,4,0,5,3,1,3,3,6,3,2,Research & Development,Life Sciences,Research Scientist,Single
0,1,6,1,2,3058,27,1,1,5,3,1,2,3,17,2,3,Research & Development,Technical Degree,Research Scientist,Married
1,0,1,1,0,2325,19,0,0,0,1,2,1,3,1,4,5,Sales,Technical Degree,Sales Representative,Single
0,0,13,1,7,2088,36,2,0,8,3,2,2,4,3,2,3,Research & Development,Medical,Laboratory Technician,Single
0,0,12,2,9,3072,30,10,2,12,3,0,1,3,9,3,4,Research & Development,Medical,Laboratory Technician,Divorced
0,1,9,2,4,5006,45,3,1,5,3,1,1,3,4,4,3,Sales,Life Sciences,Sales Executive,Divorced
0,1,19,1,2,4257,56,2,1,2,3,1,1,3,8,3,3,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,4,1,1,2500,33,2,0,3,3,1,4,3,2,4,2,Research & Development,Life Sciences,Research Scientist,Single
1,0,1,1,0,1102,19,0,0,1,2,1,4,2,2,2,3,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,24,3,13,10453,46,7,3,24,3,1,1,2,1,3,2,Sales,Marketing,Sales Executive,Divorced
0,0,2,1,2,2288,38,1,0,2,3,1,4,3,9,3,3,Research & Development,Life Sciences,Laboratory Technician,Single
0,1,7,1,2,3929,31,2,1,4,3,1,4,3,12,3,0,Research & Development,Medical,Research Scientist,Married
0,0,9,1,2,2311,34,2,0,3,3,1,2,4,27,3,3,Research & Development,Medical,Research Scientist,Single
1,1,4,1,3,3140,41,2,0,4,3,1,2,2,20,2,5,Sales,Marketing,Sales Representative,Single
0,0,5,1,2,3690,50,2,1,3,2,1,3,3,1,2,2,Research & Development,Medical,Laboratory Technician,Married
0,0,5,2,2,4450,53,3,2,4,4,1,1,4,13,3,3,Research & Development,Medical,Manufacturing Director,Divorced
0,0,8,1,7,2756,33,6,1,8,3,1,2,4,14,3,5,Research & Development,Medical,Research Scientist,Married
0,0,21,5,8,19033,40,9,1,20,3,1,3,4,4,3,2,Research & Development,Medical,Manager,Married
0,0,36,5,15,18722,55,15,0,24,4,1,2,3,14,3,3,Research & Development,Medical,Research Director,Single
0,0,10,2,9,9547,34,9,0,10,2,2,3,4,2,2,2,Research & Development,Life Sciences,Manufacturing Director,Married
0,0,21,4,7,13734,51,0,0,7,3,1,2,4,3,3,6,Research & Development,Medical,Healthcare Representative,Single
0,0,34,5,18,19999,52,9,1,33,2,1,3,3,1,3,5,Research & Development,Life Sciences,Manager,Married
0,0,7,1,7,2279,27,3,0,7,3,1,2,4,9,2,2,Research & Development,Medical,Research Scientist,Single
1,1,8,2,0,5916,35,1,0,1,2,1,3,2,23,3,1,Research & Development,Life Sciences,Manufacturing Director,Married
0,0,7,1,4,2089,43,2,3,5,4,0,4,4,7,4,3,Research & Development,Medical,Research Scientist,Divorced
0,0,22,4,8,16792,45,8,1,20,2,0,4,1,2,3,1,Research & Development,Medical,Manager,Married
0,1,8,1,7,3564,37,7,1,8,4,1,1,2,21,2,3,Research & Development,Life Sciences,Research Scientist,Married
0,0,10,2,2,4425,35,2,0,6,3,2,2,2,2,3,5,Research & Development,Medical,Laboratory Technician,Single
0,0,11,2,3,5265,42,2,1,5,3,0,3,3,21,3,5,Research & Development,Medical,Manufacturing Director,Divorced
0,0,14,2,0,6553,38,0,0,1,3,1,3,4,2,3,3,Research & Development,Life Sciences,Manufacturing Director,Married
0,0,9,2,7,6261,38,7,1,7,3,1,4,4,29,1,3,Research & Development,Technical Degree,Manufacturing Director,Married
0,0,6,2,2,4298,27,0,1,2,2,2,1,3,1,3,1,Research & Development,Technical Degree,Manufacturing Director,Married
0,1,7,2,7,6804,49,7,2,7,3,0,4,4,18,3,0,Research & Development,Life Sciences,Manufacturing Director,Divorced
0,1,5,1,3,3815,34,0,1,5,3,2,3,4,10,4,4,Research & Development,Medical,Research Scientist,Divorced
0,1,15,2,2,2741,40,7,1,7,3,1,4,3,19,4,2,Research & Development,Medical,Laboratory Technician,Married
1,1,17,2,0,6673,38,0,0,1,3,1,1,2,29,3,2,Research & Development,Medical,Healthcare Representative,Married
1,0,10,3,4,7639,29,9,3,10,3,1,4,2,27,2,3,Sales,Marketing,Sales Executive,Married
0,1,4,1,2,2328,22,2,1,4,4,1,2,4,5,2,2,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,8,1,1,2153,36,7,0,8,3,2,4,2,18,3,2,Research & Development,Medical,Laboratory Technician,Single
0,0,5,2,2,4876,40,2,1,3,2,0,4,4,9,1,5,Research & Development,Life Sciences,Healthcare Representative,Married
0,0,17,3,2,9396,46,3,1,4,3,1,1,4,1,3,3,Research & Development,Medical,Healthcare Representative,Divorced
1,0,14,3,8,10400,32,8,0,14,1,1,4,4,4,2,2,Sales,Medical,Sales Executive,Married
0,0,12,3,8,8474,30,8,0,11,2,0,3,3,1,3,2,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,7,2,7,9981,27,7,0,7,3,2,3,4,20,3,2,Sales,Life Sciences,Sales Executive,Single
0,0,16,3,9,12490,51,7,2,10,2,1,2,2,8,1,5,Research & Development,Life Sciences,Research Director,Married
1,1,8,1,2,2657,30,4,0,5,3,1,1,4,3,3,5,Research & Development,Technical Degree,Research Scientist,Single
0,1,16,3,0,13591,41,0,0,1,3,1,4,4,6,3,3,Sales,Life Sciences,Manager,Single
1,0,9,2,3,6696,30,1,0,6,2,2,1,3,26,2,5,Sales,Marketing,Sales Executive,Single
1,0,7,1,2,2058,29,5,0,6,3,1,3,3,1,2,1,Research & Development,Technical Degree,Research Scientist,Single
0,0,23,3,7,8865,45,8,0,19,2,0,4,4,6,3,2,Sales,Medical,Sales Executive,Single
0,0,16,2,2,5940,54,5,1,6,3,1,1,4,3,3,4,Sales,Marketing,Sales Executive,Married
0,0,16,2,11,5914,36,7,0,13,3,1,2,4,5,4,3,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,7,1,2,2622,33,1,0,3,2,1,2,3,4,3,3,Research & Development,Medical,Research Scientist,Married
0,1,10,3,8,12185,37,7,3,10,3,2,4,2,11,3,1,Research & Development,Other,Research Director,Divorced
0,0,17,3,10,10609,38,13,2,16,3,1,3,1,3,2,6,Sales,Life Sciences,Sales Executive,Divorced
0,0,6,2,4,4345,31,4,1,5,1,0,3,3,1,3,2,Research & Development,Medical,Manufacturing Director,Married
0,0,7,1,0,2177,59,0,1,1,2,1,4,3,3,3,6,Research & Development,Life Sciences,Research Scientist,Married
0,0,13,1,8,2793,37,8,1,9,3,2,4,1,4,3,2,Sales,Marketing,Sales Representative,Divorced
0,0,11,3,10,7918,29,1,1,11,3,2,4,2,1,3,5,Sales,Medical,Sales Executive,Married
0,0,10,3,7,8789,35,8,0,10,3,2,3,3,1,4,3,Sales,Marketing,Sales Executive,Single
1,1,4,1,3,2389,29,1,0,4,2,1,4,3,18,2,3,Research & Development,Medical,Research Scientist,Single
0,0,6,1,2,3212,52,2,0,2,2,1,4,3,2,2,3,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,22,5,17,19232,42,15,0,22,3,1,4,3,4,3,3,Research & Development,Technical Degree,Manager,Married
0,0,7,1,2,2267,59,2,0,2,3,1,3,2,6,2,2,Human Resources,Medical,Human Resources,Married
0,0,32,5,0,19517,50,6,1,7,3,1,4,4,1,2,3,Sales,Medical,Manager,Divorced
1,1,8,1,4,2436,33,4,1,5,3,1,4,3,14,1,2,Research & Development,Medical,Laboratory Technician,Married
0,1,22,4,13,16064,43,9,1,17,3,1,4,4,16,3,3,Sales,Marketing,Manager,Married
1,0,13,1,7,2707,33,7,0,9,3,1,1,1,2,4,3,Research & Development,Life Sciences,Laboratory Technician,Married
0,1,33,5,7,19068,52,12,0,33,2,0,3,1,2,4,2,Sales,Life Sciences,Manager,Single
0,0,6,1,3,3931,32,2,1,4,3,1,2,3,4,3,5,Sales,Life Sciences,Sales Representative,Married
1,1,4,1,2,3730,32,2,0,3,2,1,3,4,1,1,2,Research & Development,Life Sciences,Laboratory Technician,Single
